label,dtw_مرحبا,dtw_انا,dtw_احمد,dtw_عشري,dtw_من,dtw_فريق,dtw_صوتك,flex8_mean,flex8_var,flex8_energy,flex9_mean,flex9_var,flex9_energy,flex10_mean,flex10_var,flex10_energy,flex11_mean,flex11_var,flex11_energy,flex12_mean,flex12_var,flex12_energy,flex13_mean,flex13_var,flex13_energy,flex14_mean,flex14_var,flex14_energy,flex15_mean,flex15_var,flex15_energy,pad0_max_z,pad0_corr_r,pad1_max_z,pad1_corr_r,pad2_max_z,pad2_corr_r,pad3_max_z,pad3_corr_r,pad4_max_z,pad4_corr_r,pad5_max_z,pad5_corr_r,pad6_max_z,pad6_corr_r
عشري,725.0144957391997,1058.8404302867548,315.86506234417493,0.0,900.8510810733673,723.9770510904059,422.22951784374783,0.1493999992,0.027034739536690017,0.9889999719999998,0.05705000022499992,0.009399897581027501,0.8539999880000002,0.46284999885,0.06150972706150516,0.839,0.0,0.0,0.0,0.7233999932250003,0.14958373688356996,0.973999989,0.8439749943000001,0.08098592230361497,0.973999989,0.0,0.0,0.0,0.6566000008999999,0.06249909094402021,2.098999987000001,4.0,1073.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,3564.0,4.0,502.0,-1.0,0.0
من,453.46379682904546,818.9426987420273,720.8196726509416,962.3794941308346,125.80106545585912,514.8131867964141,1081.076754658216,0.007475000000000004,4.129937499999999e-05,0.013,0.029675000049999976,0.0032693693136825026,0.26699999,0.28334999829999996,0.06462362650674022,0.892999947,0.0,0.0,0.0,0.33682500160000006,0.13750249600461023,2.1800000080000004,0.5477999942249999,0.2237510054222902,1.208000005,0.0,0.0,0.0,0.566099994125,0.2368920850686751,1.005999983,-1.0,0.0,4.0,1258.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
من,396.03913604497154,718.9603497932796,666.3819054777168,857.9547607791001,0.0,480.3757777992488,996.0374005677861,0.007475000000000004,4.1299375e-05,0.026,0.029675000049999976,0.003269369313682502,0.53399998,0.28334999829999996,0.06462362650674022,1.133999944,0.0,0.0,0.0,0.33682500160000006,0.13750249600461018,2.571999998,0.5477999942249999,0.22375100542229012,1.973999978,0.0,0.0,0.0,0.566099994125,0.23689208506867515,1.973999978,-1.0,0.0,4.0,1258.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
من,425.01191983066775,785.6203905766848,686.6659012663715,810.4353014511643,141.23877304552903,486.3553621954472,1057.3323010710196,0.007475000000000004,4.129937499999996e-05,0.013,0.029675000049999976,0.003269369313682507,0.52299998,0.28334999829999996,0.06462362650674018,0.566999972,0.0,0.0,0.0,0.33682500160000006,0.13750249600461006,1.6849999740000001,0.5477999942249999,0.22375100542229012,0.986999989,0.0,0.0,0.0,0.566099994125,0.23689208506867487,0.986999989,-1.0,0.0,4.0,1258.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
فريق,20.128448431867266,586.2068518370957,498.8452164907561,693.5595718683124,480.3757777992488,0.0003828348207778389,913.160008347901,0.555950000225,0.19651709719167262,1.9609999779999998,0.03429999995,0.0025912099682300037,0.486,0.5610249947750001,0.19102291985786124,1.965999978,0.0,0.0,0.0,0.50279999815,0.19957355776756003,1.959999978,0.20819999955,0.06456856036693001,2.299999966,0.0,0.0,0.0,0.7269750009500002,0.14804412420159768,1.9609999779999998,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,4.0,290.0,4.0,501.0,-1.0,0.0
فريق,20.125768588121822,586.2060861674541,498.8452164907561,689.5021767725657,480.3757777992488,0.0,913.160008347901,0.555950000225,0.19651709719167262,1.973999978,0.03429999995,0.002591209968230004,0.5,0.5610249947750001,0.19102291985786127,1.973999978,0.0,0.0,0.0,0.50279999815,0.19957355776756,1.973999978,0.20819999955,0.06456856036693003,2.3119999660000006,0.0,0.0,0.0,0.7269750009500002,0.14804412420159768,1.973999978,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,4.0,290.0,4.0,501.0,-1.0,0.0
فريق,71.7355507739359,586.2060861674541,514.2326657491362,685.4021161443059,480.3831915840762,7.697594870649051,944.9962570357791,0.555950000225,0.19651709719167265,0.986999989,0.03429999995,0.002591209968230004,0.486,0.5610249947750001,0.1910229198578613,0.986999989,0.0,0.0,0.0,0.50279999815,0.19957355776755997,0.986999989,0.20819999955,0.06456856036693004,2.0109999670000005,0.0,0.0,0.0,0.7269750009500002,0.1480441242015977,0.986999989,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,4.0,290.0,4.0,501.0,-1.0,0.0
صوتك,923.377724000057,1133.1802363748322,477.05599637669695,540.5252940975303,996.0380881956004,951.3788081861549,25.101325711153063,0.008525000000000003,2.109937499999999e-05,0.011,0.010850000000000007,3.41775e-05,0.014,0.30597500025,0.031606574603862535,0.7890000189999999,0.0,0.0,0.0,0.7373249950500002,0.16184551648166756,1.289999963,0.7576249930250002,0.16697998123086882,1.074000002,0.0,0.0,0.0,0.7053249971000003,0.1552834182437352,1.465000035,2.0,2676.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,4.0,502.0,-1.0,0.0
صوتك,901.266681535279,1114.354188141721,470.7806649489086,402.12436300215586,996.0374005677861,913.160008347901,0.0,0.008525000000000003,2.1099375000000005e-05,0.022,0.010850000000000007,3.4177499999999996e-05,0.028,0.30597500025,0.031606574603862535,1.008000016,0.0,0.0,0.0,0.7373249950500002,0.16184551648166753,1.973999978,0.7576249930250002,0.16697998123086877,1.973999978,0.0,0.0,0.0,0.7053249971000003,0.15528341824373523,2.0080000179999997,2.0,2676.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,4.0,502.0,-1.0,0.0
صوتك,903.2425159868565,1170.0028722456873,534.8976657524347,302.00554848797486,1044.2772794718437,917.9557158276546,170.17938808293155,0.008525000000000003,2.1099374999999968e-05,0.011,0.010850000000000007,3.417750000000008e-05,0.014,0.30597500025,0.031606574603862556,0.504000008,0.0,0.0,0.0,0.7373249950500002,0.1618455164816676,0.986999989,0.7576249930250002,0.166979981230869,0.986999989,0.0,0.0,0.0,0.7053249971000003,0.15528341824373518,1.0210000289999999,2.0,2676.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,4.0,502.0,-1.0,0.0
